FID,XY,XY_ORG,LOCATIE_CODE,CREATED_BY,CREATED_DATE
locaties.2119,POINT (572000.527894518 5742560.757758),POINT (6247000 42759000),HARVSZBTN,HWS_DONAR_SGG,2021-03-11T15:50:32.119
locaties.2120,POINT (593103.080756766 5784655.51805358),POINT (8495000 46898000),KATWPL,HWS_DONAR_SGG,2021-03-11T15:50:59.73
locaties.2121,POINT (612270.265709992 5850030.24424439),POINT (10627000 53370000),PETTN,HWS_DONAR_SGG,2021-03-11T15:51:24.569
locaties.2122,POINT (556927.003053719 5733424.58719141),POINT (4710000 41895000),BROUWDBTN,HWS_DONAR_SGG,2021-03-11T15:51:37.359
locaties.2123,POINT (570777.796229284 5694670.65804465),POINT (5968000 37975000),PERKPDWODN,HWS_DONAR_SGG,2021-03-11T15:51:53.808
locaties.2124,POINT (539273.416453999 5694360.99412171),POINT (2817000 38047000),BRESKS,HWS_DONAR_SGG,2021-03-11T15:52:39.497
locaties.2125,POINT (595223.80037692 5724026.86451164),POINT (8508000 40830000),DINTSS,HWS_DONAR_SGG,2021-03-11T15:53:34.077
locaties.2126,POINT (586864.715226724 5720262.28043225),POINT (7660000 40481000),STEENBSSS,HWS_DONAR_SGG,2021-03-11T15:53:41.638
locaties.2127,POINT (582577.652139136 5718611.58150568),POINT (7226000 40330000),SLAAKDBG,HWS_DONAR_SGG,2021-03-11T15:53:55.371
locaties.2128,POINT (576284.119535306 5723256.68536779),POINT (6612000 40815000),BRUINSE,HWS_DONAR_SGG,2021-03-11T15:54:14.381
locaties.2129,POINT (585520.177000536 5700203.36198069),POINT (7460000 38480000),KREEKRODDHVN,HWS_DONAR_SGG,2021-03-11T15:54:29.273
locaties.2130,POINT (583762.667162778 5706847.50414643),POINT (7306000 39150000),RAZNPDR,HWS_DONAR_SGG,2021-03-11T15:54:44.356
locaties.2131,POINT (573370.905679273 5705607.53408604),POINT (6263000 39060000),WEMDGE,HWS_DONAR_SGG,2021-03-11T15:54:51.443
locaties.2132,POINT (563024.528338265 5721632.17220944),POINT (5281000 40696000),ZIERZE,HWS_DONAR_SGG,2021-03-11T15:55:37.222
locaties.2133,POINT (552072.731086712 5716742.70465048),POINT (4170000 40243000),VLIETPDR,HWS_DONAR_SGG,2021-03-11T15:56:06.151
locaties.2134,POINT (552304.063238213 5725251.65158635),POINT (4221000 41093000),BURGHSS,HWS_DONAR_SGG,2021-03-11T15:56:18.826
locaties.2135,POINT (538483.428173133 5715747.54346324),POINT (2808000 40188000),OOSTKPLE,HWS_DONAR_SGG,2021-03-11T15:56:33.067
locaties.2136,POINT (539783.849861135 5716350.21058345),POINT (2940000 40244000),ORJZN,HWS_DONAR_SGG,2021-03-11T15:56:42.208
locaties.2137,POINT (613274.12051786 5747395.77880415),POINT (10389000 43107000),ALBSDM,HWS_DONAR_SGG,2021-03-11T15:58:12.559
